ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1200708,7.66,5.73,67.2,47.42,70.87,0.58,0.448,0.773,0.621
2010,1200807,8.35,4.72,59.61,42.99,67.18,0.6,0.418,0.771,0.593
2010,1300029,5.96,7.55,65.51,42.21,66.77,0.58,0.377,0.778,0.499
2010,1300060,7.18,6.25,76.78,61.93,82.18,0.64,0.455,0.773,0.499
2010,1300086,8.65,3.31,63.14,65.7,79.95,0.58,0.526,0.741,0.537
2010,1300102,7.27,7.7,54.76,70.89,69.82,0.6,0.433,0.757,0.54
2010,1300144,8.74,1.81,64.21,51.12,70.77,0.56,0.54,0.772,0.621
2010,1300201,4.63,22.9,38.72,29.46,56.09,0.65,0.259,0.733,0.481
2010,1300300,8.11,5.47,64.35,35.3,77.98,0.59,0.446,0.799,0.539
2010,1300409,4.34,25.56,57.3,35.07,50.11,0.74,0.315,0.728,0.545
2010,1300508,8.21,2.28,63.02,73.97,83.89,0.6,0.522,0.774,0.469
2010,1300607,8.79,6.3,63.78,66.3,80.24,0.56,0.471,0.763,0.526
2010,1300631,6.83,8.9,55.04,35.21,77.02,0.65,0.346,0.731,0.512
2010,1300680,7.83,3.58,65.8,63.65,82.3,0.59,0.484,0.75,0.496
2010,1300706,7.53,6.83,74.72,55.98,72.22,0.63,0.455,0.777,0.576
2010,1300805,7.92,5.31,73.08,46.34,79.59,0.64,0.425,0.776,0.532
2010,1300839,7.77,5.74,69.38,56.26,82.08,0.58,0.436,0.775,0.544
2010,1300904,6.86,11.25,51.5,66.11,75.63,0.61,0.379,0.752,0.522
2010,1301001,7.22,5.34,74.21,50.07,74.15,0.54,0.416,0.745,0.534
2010,1301100,7.91,3.55,69.76,49.3,78.84,0.66,0.431,0.779,0.515
2010,1301159,7.62,3.93,75.52,51.87,79.29,0.57,0.45,0.779,0.523
2010,1301209,7.65,4.86,55.18,59.76,77.54,0.64,0.425,0.78,0.606
2010,1301308,7.94,6.61,60.75,56.9,77.39,0.61,0.421,0.775,0.546
2010,1301407,7.73,11.96,59.64,49.58,79.77,0.62,0.431,0.756,0.548
2010,1301506,6.33,16.85,59.24,44.79,74.65,0.64,0.349,0.727,0.521
2010,1301605,7.37,10.46,59.42,56.74,73.43,0.62,0.4,0.719,0.518
2010,1301654,6.97,8.35,60.79,45.64,78.69,0.74,0.387,0.762,0.51
2010,1301704,7.53,4.5,59.15,52.58,79.13,0.66,0.451,0.791,0.621
2010,1301803,5.51,20.39,66.08,42.95,58.32,0.58,0.302,0.772,0.476
2010,1301852,8.12,3.7,56.61,45.1,77.48,0.56,0.476,0.799,0.607
2010,1301902,8.76,2.37,67.03,67.74,83.17,0.59,0.534,0.811,0.618
2010,1301951,5.84,16.01,82.63,46.21,78.91,0.8,0.266,0.772,0.529
2010,1302009,8.16,2.29,57.12,92.97,87.11,0.67,0.594,0.792,0.594
2010,1302108,6.09,18.48,48.15,64.68,71.08,0.59,0.345,0.748,0.552
2010,1302207,6.02,15.18,55.06,34.23,78.94,0.6,0.376,0.704,0.538
2010,1302306,6.37,10.27,65.82,36.68,80.1,0.69,0.34,0.766,0.528
2010,1302405,7.01,8.12,72.7,30.48,74.23,0.59,0.374,0.744,0.538
2010,1302504,8.63,3.19,70.83,66.34,78.15,0.56,0.481,0.795,0.604
2010,1302553,8.15,3.32,69.84,67.04,86.97,0.57,0.51,0.748,0.556
2010,1302603,9.51,1.38,66.29,75.17,83.59,0.61,0.658,0.826,0.738
2010,1302702,8.2,5.22,60.19,63.97,78.33,0.6,0.456,0.747,0.58
2010,1302801,6.02,8.44,64.43,37.27,70.58,0.69,0.348,0.763,0.466
2010,1302900,9.26,3.05,58.96,66.79,85.72,0.64,0.464,0.8,0.549
2010,1303007,8.85,1.77,73.71,60.87,86.72,0.65,0.503,0.779,0.513
2010,1303106,6.99,4.23,61.13,43.81,70.08,0.63,0.412,0.78,0.541
2010,1303205,7.37,6.42,76.66,53.52,62.52,0.59,0.434,0.776,0.551
2010,1303304,7.58,7.93,64.48,49.3,75.75,0.57,0.421,0.759,0.532
2010,1303403,9.45,1.94,69.19,81.88,86.4,0.59,0.605,0.8,0.589
2010,1303502,4.72,17.49,70.46,32.01,67.18,0.72,0.317,0.724,0.531
2010,1303536,8.46,2.18,52.41,48.81,80.09,0.52,0.538,0.802,0.627
2010,1303569,8.49,2.39,56.78,55.62,77.18,0.55,0.493,0.785,0.59
2010,1303601,4.8,30.69,69.1,42.37,55.45,0.72,0.323,0.737,0.461
2010,1303700,6.49,8.2,59.75,35.46,73.82,0.67,0.353,0.759,0.438
2010,1303809,7.5,4.42,53.56,46.45,78.39,0.8,0.476,0.777,0.61
2010,1303908,6.73,8.47,52.4,50.61,77.86,0.64,0.386,0.78,0.471
2010,1303957,8.01,2.85,63.78,69.56,81.9,0.58,0.464,0.739,0.561
2010,1304005,9.54,2.43,72.25,81.3,79.74,0.56,0.584,0.791,0.546
2010,1304062,8.26,4.56,44.86,69.29,81.62,0.65,0.505,0.769,0.602
2010,1304104,6.35,11.86,56.02,39.97,69.24,0.6,0.355,0.694,0.512
2010,1304203,8.49,3.29,69.86,61.52,78.69,0.62,0.511,0.801,0.637
2010,1304237,7.3,6.34,58.17,67.9,79.67,0.54,0.416,0.779,0.508
2010,1304260,6.94,6.68,51.98,28.87,75.86,0.61,0.378,0.724,0.535
