SG_UE,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDUCACAO
12602,0.505,0.758,0.368
36315,0.505,0.711,0.319
28231,0.505,0.735,0.467
12700,0.505,0.747,0.40700000000000003
30716,0.506,0.7509999999999999,0.46399999999999997
8656,0.506,0.7440000000000001,0.5720000000000001
19640,0.506,0.7020000000000001,0.408
10260,0.506,0.738,0.441
4138,0.506,0.774,0.29
9458,0.506,0.77,0.522
12181,0.506,0.685,0.42200000000000004
27995,0.506,0.685,0.369
35777,0.506,0.7759999999999999,0.424
27170,0.507,0.725,0.376
39799,0.507,0.743,0.467
7307,0.507,0.677,0.408
12076,0.508,0.78,0.434
37575,0.508,0.7290000000000001,0.389
13080,0.508,0.76,0.5760000000000001
28673,0.508,0.703,0.409
36706,0.508,0.7509999999999999,0.415
12041,0.508,0.77,0.39399999999999996
8176,0.508,0.731,0.466
4553,0.508,0.769,0.32299999999999995
7463,0.508,0.7170000000000001,0.382
4189,0.508,0.757,0.304
7625,0.508,0.6920000000000001,0.45899999999999996
98515,0.508,0.779,0.41600000000000004
9296,0.509,0.774,0.456
10286,0.509,0.7240000000000001,0.41600000000000004
27758,0.509,0.764,0.386
12530,0.509,0.685,0.36
5436,0.509,0.773,0.382
7641,0.509,0.718,0.387
4618,0.51,0.777,0.33299999999999996
14680,0.51,0.778,0.523
13048,0.51,0.769,0.526
7447,0.51,0.7070000000000001,0.442
2020,0.51,0.762,0.387
12386,0.51,0.752,0.46
7374,0.51,0.757,0.561
7528,0.511,0.7290000000000001,0.405
36595,0.511,0.7490000000000001,0.435
7153,0.511,0.764,0.502
10847,0.511,0.767,0.435
37290,0.512,0.685,0.45399999999999996
12289,0.512,0.748,0.379
12580,0.512,0.762,0.43799999999999994
13404,0.512,0.72,0.505
27510,0.512,0.736,0.402
2950,0.512,0.731,0.34600000000000003
5177,0.512,0.77,0.322
2798,0.512,0.6940000000000001,0.355
24856,0.512,0.769,0.525
5193,0.512,0.779,0.359
5150,0.513,0.767,0.28600000000000003
28495,0.513,0.758,0.431
2631,0.513,0.779,0.503
27499,0.513,0.762,0.385
28614,0.513,0.752,0.36200000000000004
12173,0.513,0.7390000000000001,0.465
22292,0.513,0.726,0.45
28290,0.513,0.703,0.42100000000000004
37621,0.513,0.769,0.43
28193,0.513,0.677,0.345
12564,0.513,0.708,0.44299999999999995
32255,0.513,0.764,0.414
15920,0.514,0.758,0.5710000000000001
23078,0.514,0.7609999999999999,0.43200000000000005
9091,0.514,0.762,0.479
41742,0.514,0.7759999999999999,0.38799999999999996
12467,0.514,0.73,0.386
33758,0.514,0.7290000000000001,0.447
4669,0.514,0.7759999999999999,0.376
98558,0.514,0.7509999999999999,0.524
31976,0.514,0.731,0.45399999999999996
10197,0.514,0.7609999999999999,0.449
4650,0.514,0.77,0.413
14338,0.514,0.747,0.46299999999999997
37893,0.514,0.737,0.34299999999999997
31534,0.514,0.735,0.469
13064,0.514,0.755,0.47700000000000004
36935,0.515,0.78,0.358
19208,0.515,0.763,0.48100000000000004
37311,0.515,0.6990000000000001,0.359
13250,0.515,0.759,0.45899999999999996
2232,0.515,0.779,0.431
31135,0.515,0.701,0.435
27049,0.515,0.72,0.41
7331,0.515,0.752,0.479
20001,0.515,0.6990000000000001,0.402
7323,0.515,0.6809999999999999,0.461
7188,0.515,0.735,0.45
11495,0.515,0.7759999999999999,0.44299999999999995
15091,0.515,0.741,0.518
10537,0.516,0.7120000000000001,0.33399999999999996
12068,0.516,0.736,0.467
96032,0.516,0.748,0.48700000000000004
34177,0.516,0.778,0.43
8214,0.516,0.7709999999999999,0.495
33375,0.516,0.7509999999999999,0.425
18074,0.516,0.774,0.456
22012,0.516,0.721,0.44299999999999995
25410,0.516,0.73,0.405
20990,0.516,0.71,0.43200000000000005
4499,0.516,0.769,0.23399999999999999
12009,0.516,0.753,0.35100000000000003
7021,0.516,0.7440000000000001,0.444
12327,0.517,0.6920000000000001,0.41100000000000003
9130,0.517,0.778,0.43
37427,0.517,0.753,0.466
7404,0.517,0.698,0.43
35530,0.517,0.7709999999999999,0.335
27596,0.517,0.684,0.39299999999999996
13323,0.517,0.742,0.52
27359,0.517,0.7090000000000001,0.39799999999999996
27065,0.517,0.772,0.43
14060,0.517,0.759,0.489
28894,0.517,0.687,0.408
4030,0.517,0.757,0.332
7390,0.517,0.758,0.45399999999999996
23221,0.518,0.721,0.489
37176,0.518,0.737,0.46299999999999997
13072,0.518,0.7490000000000001,0.474
10588,0.518,0.743,0.44
44059,0.518,0.795,0.48200000000000004
24295,0.518,0.768,0.369
1082,0.518,0.736,0.47700000000000004
3050,0.518,0.813,0.379
10545,0.518,0.764,0.496
2330,0.518,0.7190000000000001,0.4
8125,0.518,0.762,0.522
10243,0.518,0.725,0.433
9555,0.519,0.75,0.4
10944,0.519,0.731,0.348
1031,0.519,0.7809999999999999,0.34
8630,0.519,0.693,0.47200000000000003
42064,0.519,0.7490000000000001,0.41200000000000003
37753,0.519,0.774,0.51
32077,0.519,0.76,0.376
8311,0.519,0.7390000000000001,0.434
12629,0.52,0.757,0.433
41289,0.52,0.76,0.52
5371,0.52,0.774,0.502
5533,0.52,0.76,0.439
10626,0.52,0.7090000000000001,0.519
12084,0.52,0.7490000000000001,0.496
3115,0.52,0.8009999999999999,0.502
7498,0.52,0.745,0.456
10960,0.52,0.77,0.425
27391,0.52,0.73,0.39799999999999996
8486,0.52,0.6890000000000001,0.435
12165,0.52,0.715,0.426
20753,0.52,0.7120000000000001,0.429
19062,0.52,0.728,0.4
7595,0.52,0.748,0.57
32492,0.52,0.746,0.43200000000000005
10596,0.521,0.77,0.469
19380,0.521,0.773,0.413
15830,0.521,0.753,0.475
11215,0.521,0.779,0.43799999999999994
36412,0.521,0.775,0.39799999999999996
16896,0.521,0.7659999999999999,0.418
2313,0.521,0.727,0.349
25950,0.521,0.711,0.507
1066,0.521,0.726,0.397
34991,0.522,0.7709999999999999,0.392
36811,0.522,0.753,0.413
7749,0.522,0.7020000000000001,0.48100000000000004
4820,0.522,0.767,0.495
15717,0.522,0.7390000000000001,0.5770000000000001
12416,0.522,0.753,0.47
2194,0.522,0.752,0.379
25852,0.522,0.768,0.54
24678,0.522,0.6809999999999999,0.37200000000000005
13420,0.522,0.763,0.516
23108,0.522,0.722,0.43799999999999994
35254,0.523,0.743,0.45
18597,0.523,0.752,0.504
2046,0.523,0.779,0.45
20710,0.523,0.732,0.473
10790,0.523,0.722,0.475
34398,0.523,0.735,0.43700000000000006
21830,0.523,0.758,0.424
41084,0.523,0.765,0.396
7137,0.523,0.762,0.49200000000000005
4359,0.524,0.778,0.312
14796,0.524,0.76,0.511
10413,0.524,0.7759999999999999,0.397
38938,0.524,0.736,0.379
20354,0.524,0.715,0.461
13102,0.524,0.774,0.518
28550,0.524,0.672,0.365
13773,0.524,0.716,0.536
13307,0.524,0.7709999999999999,0.519
20150,0.524,0.69,0.447
10448,0.524,0.7190000000000001,0.509
37303,0.524,0.722,0.386
10782,0.524,0.755,0.446
4812,0.524,0.8009999999999999,0.507
12653,0.524,0.7759999999999999,0.5820000000000001
12343,0.525,0.752,0.449
10162,0.525,0.778,0.485
9075,0.525,0.762,0.545
14311,0.525,0.775,0.542
10758,0.525,0.7040000000000001,0.44299999999999995
34410,0.525,0.763,0.47700000000000004
7820,0.525,0.726,0.475
19020,0.525,0.753,0.47700000000000004
33960,0.525,0.763,0.49
19968,0.525,0.691,0.408
33715,0.525,0.738,0.402
9679,0.525,0.701,0.365
8575,0.525,0.7170000000000001,0.401
41122,0.525,0.784,0.418
12394,0.525,0.78,0.442
7030,0.525,0.753,0.475
4391,0.525,0.778,0.39799999999999996
8974,0.525,0.7,0.452
15172,0.525,0.7759999999999999,0.534
27022,0.526,0.754,0.41600000000000004
14230,0.526,0.755,0.557
13811,0.526,0.758,0.568
19780,0.526,0.747,0.465
15652,0.526,0.779,0.47600000000000003
18333,0.526,0.763,0.525
19305,0.526,0.718,0.45899999999999996
10600,0.526,0.777,0.47100000000000003
92525,0.526,0.73,0.517
17892,0.526,0.773,0.43
9318,0.526,0.731,0.505
19500,0.526,0.716,0.462
10065,0.526,0.77,0.37200000000000005
34096,0.526,0.758,0.473
33065,0.526,0.718,0.43200000000000005
2135,0.526,0.763,0.47100000000000003
11517,0.526,0.777,0.46399999999999997
15075,0.526,0.764,0.46
11711,0.527,0.764,0.44799999999999995
19046,0.527,0.738,0.406
28150,0.527,0.785,0.35
10103,0.527,0.78,0.46
32158,0.527,0.7809999999999999,0.381
15210,0.527,0.746,0.5
13579,0.527,0.73,0.593
38253,0.527,0.779,0.47100000000000003
37931,0.527,0.757,0.48200000000000004
15431,0.527,0.779,0.557
16071,0.527,0.7759999999999999,0.5720000000000001
27014,0.527,0.728,0.43200000000000005
35149,0.527,0.763,0.505
32298,0.527,0.7659999999999999,0.514
13595,0.528,0.779,0.505
19100,0.528,0.715,0.392
21016,0.528,0.747,0.449
2496,0.528,0.7659999999999999,0.34
6041,0.528,0.758,0.47700000000000004
18716,0.528,0.722,0.491
10910,0.528,0.7759999999999999,0.524
17051,0.528,0.726,0.48
15571,0.528,0.735,0.565
12351,0.528,0.762,0.385
27553,0.528,0.693,0.4
25054,0.528,0.703,0.418
13366,0.529,0.7509999999999999,0.48200000000000004
4065,0.529,0.753,0.39299999999999996
7064,0.529,0.718,0.483
10383,0.529,0.755,0.44799999999999995
19836,0.529,0.765,0.5429999999999999
10529,0.529,0.775,0.44
4073,0.529,0.779,0.436
15954,0.529,0.753,0.5579999999999999
15253,0.529,0.759,0.441
28819,0.529,0.71,0.42100000000000004
17256,0.529,0.7340000000000001,0.436
23655,0.529,0.731,0.46799999999999997
19747,0.529,0.754,0.39899999999999997
98370,0.529,0.772,0.266
33073,0.529,0.747,0.42200000000000004
23752,0.529,0.746,0.419
19089,0.529,0.6829999999999999,0.39799999999999996
34355,0.53,0.745,0.43799999999999994
15199,0.53,0.779,0.523
39179,0.53,0.764,0.49200000000000005
25291,0.53,0.743,0.42700000000000005
17914,0.53,0.752,0.435
39047,0.53,0.775,0.512
5495,0.53,0.741,0.424
13277,0.53,0.775,0.5870000000000001
23000,0.53,0.752,0.48200000000000004
7684,0.53,0.687,0.506
21857,0.53,0.722,0.389
11835,0.53,0.789,0.385
4146,0.53,0.7240000000000001,0.424
12637,0.53,0.753,0.391
24490,0.531,0.688,0.364
11339,0.531,0.7070000000000001,0.51
28797,0.531,0.748,0.43
21636,0.531,0.77,0.44799999999999995
4316,0.531,0.77,0.39799999999999996
11436,0.531,0.6990000000000001,0.42700000000000005
37532,0.531,0.762,0.40399999999999997
21610,0.531,0.7390000000000001,0.45399999999999996
19283,0.531,0.769,0.46
2712,0.531,0.7240000000000001,0.317
19992,0.531,0.778,0.408
41505,0.531,0.723,0.474
19143,0.531,0.747,0.4
11312,0.531,0.768,0.474
27278,0.531,0.742,0.47
34215,0.531,0.732,0.46299999999999997
21113,0.531,0.7659999999999999,0.54
10642,0.531,0.725,0.354
15237,0.531,0.765,0.5920000000000001
7358,0.531,0.7190000000000001,0.426
8958,0.531,0.746,0.47100000000000003
20699,0.532,0.747,0.38
2178,0.532,0.7759999999999999,0.425
21350,0.532,0.802,0.42100000000000004
10219,0.532,0.722,0.442
2674,0.532,0.759,0.42100000000000004
27693,0.532,0.755,0.41
37052,0.532,0.7340000000000001,0.45399999999999996
21210,0.532,0.7609999999999999,0.532
17710,0.532,0.7759999999999999,0.496
19925,0.532,0.7490000000000001,0.413
23086,0.532,0.726,0.461
27731,0.532,0.701,0.451
10308,0.532,0.711,0.55
37656,0.5329999999999999,0.747,0.42700000000000005
7552,0.5329999999999999,0.747,0.47600000000000003
10499,0.5329999999999999,0.7709999999999999,0.409
23353,0.5329999999999999,0.742,0.441
5550,0.5329999999999999,0.754,0.33799999999999997
21091,0.5329999999999999,0.7759999999999999,0.452
15393,0.5329999999999999,0.715,0.499
33030,0.5329999999999999,0.7759999999999999,0.46
20877,0.5329999999999999,0.675,0.42700000000000005
11231,0.5329999999999999,0.742,0.396
13978,0.5329999999999999,0.715,0.526
8117,0.5329999999999999,0.743,0.445
38539,0.5329999999999999,0.71,0.431
10502,0.5329999999999999,0.7709999999999999,0.514
13455,0.5329999999999999,0.76,0.598
19445,0.5329999999999999,0.765,0.44299999999999995
38156,0.5329999999999999,0.772,0.386
24317,0.5329999999999999,0.706,0.446
20630,0.5329999999999999,0.747,0.44799999999999995
31550,0.5329999999999999,0.772,0.475
33871,0.5329999999999999,0.746,0.523
28630,0.5329999999999999,0.732,0.48
39152,0.5329999999999999,0.7340000000000001,0.53
7340,0.5329999999999999,0.708,0.455
35076,0.5329999999999999,0.754,0.4
37630,0.534,0.81,0.40299999999999997
9393,0.534,0.726,0.483
27219,0.534,0.6990000000000001,0.36200000000000004
37834,0.534,0.775,0.49
33413,0.534,0.747,0.381
37583,0.534,0.723,0.47100000000000003
11177,0.534,0.758,0.466
10138,0.534,0.768,0.512
40100,0.534,0.7709999999999999,0.382
8079,0.534,0.747,0.539
14192,0.534,0.735,0.479
10669,0.534,0.772,0.46
2216,0.534,0.745,0.41600000000000004
10820,0.534,0.708,0.47200000000000003
8397,0.534,0.732,0.486
4855,0.534,0.764,0.45399999999999996
7951,0.535,0.772,0.5920000000000001
36765,0.535,0.764,0.395
39039,0.535,0.778,0.48
15750,0.535,0.778,0.49700000000000005
7218,0.535,0.7759999999999999,0.634
19542,0.535,0.7759999999999999,0.473
8710,0.535,0.727,0.408
12319,0.535,0.716,0.391
98493,0.535,0.7240000000000001,0.37799999999999995
33731,0.535,0.753,0.45299999999999996
40940,0.535,0.7759999999999999,0.501
33782,0.535,0.7490000000000001,0.40700000000000003
8001,0.536,0.755,0.484
34029,0.536,0.725,0.409
28517,0.536,0.775,0.42100000000000004
13676,0.536,0.76,0.513
22195,0.536,0.779,0.392
12025,0.536,0.708,0.46
13170,0.536,0.741,0.593
26018,0.536,0.711,0.425
42404,0.536,0.743,0.4
25933,0.536,0.748,0.423
36013,0.536,0.7190000000000001,0.485
24716,0.536,0.733,0.369
24953,0.536,0.7659999999999999,0.5529999999999999
28274,0.536,0.7929999999999999,0.491
10901,0.536,0.7020000000000001,0.392
37338,0.536,0.732,0.444
4693,0.536,0.763,0.42700000000000005
15415,0.536,0.755,0.5
36331,0.536,0.764,0.45399999999999996
13021,0.536,0.778,0.545
12459,0.536,0.742,0.418
19585,0.537,0.752,0.551
27375,0.537,0.737,0.48100000000000004
13617,0.537,0.7490000000000001,0.526
12483,0.537,0.746,0.47700000000000004
19259,0.537,0.745,0.41100000000000003
23299,0.537,0.7490000000000001,0.479
32115,0.537,0.7390000000000001,0.462
42200,0.537,0.7859999999999999,0.489
10049,0.537,0.7509999999999999,0.446
2933,0.537,0.741,0.526
11690,0.537,0.758,0.406
7269,0.537,0.7509999999999999,0.431
19003,0.537,0.748,0.426
19887,0.537,0.762,0.455
20818,0.537,0.698,0.426
53295,0.537,0.809,0.39799999999999996
52035,0.537,0.794,0.408
12335,0.537,0.696,0.44799999999999995
13447,0.537,0.7170000000000001,0.5870000000000001
7838,0.537,0.75,0.546
8150,0.537,0.741,0.49200000000000005
28754,0.537,0.7140000000000001,0.43200000000000005
11452,0.537,0.721,0.49200000000000005
47392,0.537,0.754,0.391
39853,0.5379999999999999,0.768,0.435
2518,0.5379999999999999,0.7440000000000001,0.374
2470,0.5379999999999999,0.7040000000000001,0.376
7919,0.5379999999999999,0.748,0.45899999999999996
11959,0.5379999999999999,0.7390000000000001,0.588
2879,0.5379999999999999,0.7759999999999999,0.48700000000000004
4413,0.5379999999999999,0.754,0.474
37222,0.5379999999999999,0.74,0.469
10324,0.5379999999999999,0.728,0.425
37095,0.5379999999999999,0.741,0.456
11630,0.5379999999999999,0.758,0.44
21393,0.5379999999999999,0.753,0.456
20893,0.5379999999999999,0.732,0.48100000000000004
28355,0.5379999999999999,0.727,0.479
4235,0.5379999999999999,0.77,0.467
8540,0.5379999999999999,0.7609999999999999,0.447
8109,0.5379999999999999,0.772,0.561
28215,0.5379999999999999,0.7,0.434
2070,0.539,0.799,0.446
38199,0.539,0.6890000000000001,0.434
33529,0.539,0.769,0.46799999999999997
12599,0.539,0.732,0.452
27910,0.539,0.742,0.46
11088,0.539,0.726,0.446
36358,0.539,0.763,0.41100000000000003
39055,0.539,0.775,0.537
31836,0.539,0.726,0.431
39977,0.539,0.775,0.374
11851,0.539,0.768,0.49
7439,0.539,0.752,0.506
38067,0.539,0.762,0.475
6009,0.539,0.79,0.544
10480,0.539,0.736,0.47600000000000003
20656,0.539,0.772,0.444
10464,0.539,0.6990000000000001,0.483
4910,0.539,0.754,0.467
34517,0.54,0.728,0.5379999999999999
8591,0.54,0.753,0.5589999999999999
41696,0.54,0.782,0.517
10120,0.54,0.769,0.47600000000000003
25550,0.54,0.737,0.524
10294,0.54,0.755,0.39799999999999996
19569,0.54,0.706,0.49200000000000005
7250,0.54,0.737,0.484
13382,0.54,0.779,0.53
2038,0.54,0.757,0.433
33251,0.54,0.764,0.415
7366,0.54,0.725,0.505
5878,0.54,0.763,0.353
27979,0.54,0.7659999999999999,0.465
4979,0.54,0.775,0.391
19151,0.54,0.745,0.41200000000000003
9512,0.54,0.733,0.534
31330,0.54,0.755,0.414
13013,0.54,0.748,0.612
23477,0.54,0.725,0.41700000000000004
23779,0.54,0.727,0.505
7668,0.54,0.722,0.47200000000000003
19984,0.54,0.73,0.474
24813,0.541,0.767,0.466
24171,0.541,0.759,0.532
95338,0.541,0.765,0.462
23124,0.541,0.6809999999999999,0.451
2658,0.541,0.78,0.41200000000000003
28053,0.541,0.767,0.43
24457,0.541,0.7120000000000001,0.433
39071,0.541,0.732,0.45899999999999996
23957,0.541,0.7070000000000001,0.478
24830,0.541,0.698,0.40299999999999997
27812,0.541,0.703,0.44299999999999995
28010,0.541,0.777,0.473
39314,0.541,0.7559999999999999,0.418
40924,0.541,0.782,0.424
4626,0.541,0.77,0.40399999999999997
5916,0.541,0.746,0.33799999999999997
19291,0.541,0.731,0.495
7110,0.541,0.716,0.441
14591,0.541,0.76,0.522
14494,0.541,0.772,0.511
4510,0.541,0.763,0.528
13870,0.541,0.774,0.605
14613,0.541,0.778,0.5539999999999999
8230,0.541,0.7340000000000001,0.512
15113,0.541,0.779,0.521
4952,0.541,0.764,0.495
18317,0.541,0.76,0.415
12211,0.542,0.7809999999999999,0.45299999999999996
27251,0.542,0.691,0.473
42528,0.542,0.797,0.462
18899,0.542,0.758,0.516
10081,0.542,0.7070000000000001,0.415
21970,0.542,0.778,0.40700000000000003
15989,0.542,0.742,0.562
28479,0.542,0.769,0.379
7854,0.542,0.758,0.445
17299,0.542,0.764,0.483
19330,0.542,0.753,0.434
4570,0.542,0.758,0.48
19011,0.542,0.7120000000000001,0.484
8931,0.542,0.728,0.456
16314,0.542,0.737,0.494
28096,0.542,0.685,0.395
73059,0.542,0.7240000000000001,0.498
25232,0.542,0.677,0.402
23035,0.542,0.7609999999999999,0.493
25798,0.542,0.76,0.512
34916,0.542,0.765,0.387
20435,0.5429999999999999,0.757,0.43700000000000006
10189,0.5429999999999999,0.732,0.45299999999999996
18619,0.5429999999999999,0.748,0.455
33499,0.5429999999999999,0.763,0.49200000000000005
27677,0.5429999999999999,0.759,0.48100000000000004
21890,0.5429999999999999,0.79,0.44799999999999995
35874,0.5429999999999999,0.74,0.46299999999999997
5118,0.5429999999999999,0.754,0.478
17752,0.5429999999999999,0.7190000000000001,0.424
23736,0.5429999999999999,0.725,0.40299999999999997
9431,0.5429999999999999,0.722,0.451
35297,0.5429999999999999,0.773,0.456
34509,0.5429999999999999,0.77,0.446
24252,0.5429999999999999,0.773,0.502
73423,0.5429999999999999,0.728,0.531
73342,0.5429999999999999,0.745,0.524
24058,0.5429999999999999,0.775,0.45399999999999996
73113,0.5429999999999999,0.758,0.47100000000000003
8753,0.5429999999999999,0.732,0.48100000000000004
20230,0.5429999999999999,0.7490000000000001,0.43200000000000005
33839,0.5429999999999999,0.754,0.46399999999999997
39950,0.5429999999999999,0.685,0.46
37877,0.5429999999999999,0.769,0.447
4731,0.5429999999999999,0.746,0.364
23396,0.5429999999999999,0.745,0.445
36030,0.5429999999999999,0.6940000000000001,0.426
11894,0.5429999999999999,0.7759999999999999,0.546
20591,0.544,0.677,0.44799999999999995
33332,0.544,0.768,0.42200000000000004
41068,0.544,0.7809999999999999,0.49200000000000005
19160,0.544,0.7759999999999999,0.47
34975,0.544,0.778,0.46299999999999997
10391,0.544,0.735,0.452
14630,0.544,0.772,0.526
24112,0.544,0.745,0.423
13269,0.544,0.754,0.5379999999999999
21318,0.544,0.775,0.461
23205,0.544,0.765,0.498
18759,0.544,0.778,0.435
19550,0.544,0.75,0.426
35858,0.544,0.7759999999999999,0.45299999999999996
20532,0.544,0.768,0.465
20290,0.544,0.728,0.435
36714,0.544,0.72,0.47600000000000003
7200,0.544,0.742,0.547
19119,0.544,0.778,0.465
2992,0.544,0.775,0.436
31003,0.544,0.716,0.526
31496,0.544,0.7829999999999999,0.42200000000000004
7650,0.544,0.728,0.45399999999999996
17396,0.545,0.7759999999999999,0.531
39357,0.545,0.7490000000000001,0.36
26034,0.545,0.741,0.5329999999999999
14737,0.545,0.773,0.5379999999999999
28738,0.545,0.752,0.504
21873,0.545,0.762,0.434
2097,0.545,0.728,0.315
